,ID,REPLY,LIKE,LIKE2
1182,eekikw,저새끼는 구미호인가보데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이창호 사랑해여,0,0
1183,ᄏ슈퍼맨,아 겁나웃겨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
1184,봄바람,나이거 왜 보고있지..  ??40분째...?,0,0
1185,양귀비,회장님 돈 많네ㅋㅋ 사업체가 5개나있어~~~,0,0
1186,길짱이,24:00,0,0
1187,풍선초록,물리쌤은 그냥 동네바보같아ㅋㅋ입가에 크림 묻히고 한손에 막걸리.한손에 빵들고ㅋㅋ,1,1
1188,이센스,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
1189,박태현,@58:44 김삿갓 이야~,1,1
1190,나는이영지,1:49,1,1
1191,전두환장군,아!!!!!! 넷이서 뭐하냐고 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1
1192,공주밍키,1:46:52 뉴자지요 ?,0,0
1193,지수,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 김재규 육본 가서 체포 됐는데 ㅋㅋㅋㅋㅋ 드립이죠? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
1194,이창호?,2:15:22 아야,0,0
1195,나뚜루,3:32,0,0
1196,마애,너네가 나보다 동생이라니...ㅋㅋㅋㅋ,10,10
1197,라면RAMEN,46:33 왜 또 나만 말려,0,0
1198,Aurora,코쟁이 ㅋㅋㅋㅋㅋ,0,0
1199,살아가는 쭌,1:26,0,0
1200,현현,3:40 야망가,1,1
1201,예으니,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ제목길이봐,0,0
1202,설레,찐 아저씨들 같앸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,1
1203,H S,3시간 이라서 내 눈이 이상한 즐..,1,1
1204,캡틴잭,이 영상은 왜 자꾸 내 추천영상으로 뜨지 ㅡㅡㅋ,0,0
1205,또리또리나잇,얌마 회장아 택조부회장이 씻팔 돈이 없어서 안내는게 아니잖아 능력껏 낸건데 그걸 가지고 쪽을주면 되나 안되나 으이?,0,0
1206,세계지도,술안주 피식대학,0,0
1207,으잇,이건 유머가 아니라 다큐다..... ebs 뭐하노진심,3,3
1208,참기름띠,열졍도 없는계,0,0
1209,돈 클리크,ㅋㅋㅋㅋㅋㅋㅋㅋ,0,0
1210,big stone,1:45:58 어디다 뭘 담가? ㅋㅋ,1,1
1211,뎅이츠,3:29:37 광고,1,1
1212,:: AlphaDo ::,아니 맨 앞에 광고 몰린거 개징그럽네 ㅋㅋㅋㅋㅋㅋ,0,0
