,ID,REPLY,LIKE,LIKE2
66,영영,어쩜 하나같이 다 이렇게 취향인거죠....? ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1,1
67,Pure Sould,아침에 학교 가려고 나오면 확 느껴지는 상쾌한 그 겨울공기냄새...학년 말 애들이랑 다 친해지고 시험 끝나서 영화보고..매장 같은데가면 다 꾸며져있고 캐롤 나오고 하..상상만해도 좋다,31,31
68,박생강,커피 때려마시고 이 플리 들으니까 심장 두근두근 괜히 설레는기분 ,0,0
69,‭감자,Manila 진짜 좋아하는 노랜데 딱 처음에 넣어주시다니 ㅠㅠㅠㅠㅠㅠ 사랑합니다 에센셜,14,14
70,보라나니,맨날 노래만 듣다가 첨으로 댓글남겨요! 진심 에센티얼님 플레이리스트는 제인생곡.. 좋은노래 많이 알려주셔서 감사합니다!!,0,0
71,바이나비 by nabi,이렇게 힙하고 감각적인 음악 넘 좋아요몸이 들썩들썩 나도 모르게 고개를  기분이 업 되요,28,28
72,vanilla,아는 곡이 하나도 없어서 넘>_< 기분 좋당... 이런 노래들 왜 그동안 몰랐었지.....? ㅈㄴ 좋아 오늘부터 내 플레이리스트에 추가한다,26,26
73,정유진,유투브에서 노래 자주 듣는데 들어본 playlist 중에서 갑입니다. 진심 노래 좋아요!,33,33
74,냠냠,첫번째노래랑 ‘퇴사’라는 노래랑 비트 똑같은데 (샘플링) 그것도 엄청 좋아요 특히 가사가 굿첫번째 느낌 좋아하면 꼭 들어보세요!!,2,2
75,J'adore자도르,와...미쳤다...노래 너무 좋아...,2.8천,2800
76,Rosa Kim,눈 내리는 날 방 안을 따뜻하게 해둔 다음 창가에 앉아 담요를 덮고 따뜻한 핫코코아를 마시면서 친구랑 수다 떨며 듣고 싶은 오늘의 플리 역시 흥난다 최고예요,0,0
77,현경[가드너스],내가 어쩌다 이 플리를 이제서야 알아서… 거짓말 아니고 일주일 내내 듣고있음 초반 두곡 듣고 바로 좋아요 누른 플레이리스트ㅠㅠ 평생 최애일거같습니다…,0,0
78,sweetbaby,essential 광고없이 들으려고 유투브 유료결재 했어요~ 음악 선곡이 너무 좋아서 다양한 곡들을 들으니 너무 좋아요~♡,1,1
79,김은설,Face a face  되게 좋네요나머지 노래들도  좋은 편거의 모든 음악이 감각적이라   좋습니다   고마워요,0,0
80,민지,하 이 플리를 왜 이제야 들었을까요.. 힐링 캡쨩. ..,1,1
81,momo,미쳤네.. 이번 플레이리스트 너무 좋아. 맨날 듣고있어요~,10,10
82,김수진,첫번째 곡 저만 아는 곡인 줄 알았는데 이제 곧 유명해지겠네요..! ️,0,0
83,Hà Trần Hải,Pls upload all this playlists on Spotify i need you essential,2,2
84,지후,저 이거 너무 좋아서 아직도 듣고 있어요. 일할때 또는 커피한잔 하면서 앉아있을때 재생 해 놓으면 제가 있는 공간 자체가 스탈리쉬 해지는 느낌 ㅎ,0,0
85,라그랑주승수법,곡구성 진짜로 미쳣네;;,0,0
86,Stella,노래 다 너무 좋아서 계속 듣게되네요!,0,0
87,blue brew,와 첫곡부터 역시 미쳤다 진짜...,161,161
88,행복한인생,수학같은 가벼운 과목 공부하면서 듣기 좋네요!!,0,0
89,유튜브무료음악듣기 free music,음악들이 전부 다 좋아요^^  좋은 영상 만들어 주셔서 감사합니다!!,1,1
90,Star Dugan,와 진짜 이 분 노래만 듣는 이유가 있어,1,1
91,차루문 charoomoon,이분은 구독 100번 아니 1000000번 하고싶음 진짜 어떻게하면 이런 플리들이 나옴?,1,1
92,jacqueline sepulveda,Excelente <3,0,0
93,올리브오일,플레이리스트 듣다보면 꼭 한두곡은 마음에 안 드는게 있어서 중간에 스킵하고 그러는데 이건 그런게 전혀 없었음,20,20
94,뿌엥,"첫 곳부터 미침? 와 진짜 믿듣에센셜,,,,,,, 말그대로 내 플레이리스트에 꼭 필요한 킹갓제너럴에센셜,,,,,",0,0
95,랄라랄루,아니 첫곡부터 미친거 아니냐고...ㅠ 첨들어보는데 너무좋다,0,0
96,y m,광고가 1도 안 붙여져 있는게 레알루 좋아ㅠㅠ다른데들은 다 자동으로 붙는다고들 하는데,0,0
97,정연,진짜 이런 노래들은 어디서 찾지?진짜 대단하다,0,0
98,밤 하늘의 별을 켜다,첫 곡 도입부부터 미쳤네ㅋㅋ 너무 좋다,16,16
99,이둉,개인적으로 노래가 너무 좋아서 Christian Burghardt - Autopilot도 추천드려용~~,9,9
100,박시연,진짜 그냥 가로수길 같은 곳에서 이 플리 틀어놓고 여유롭게 하늘이나 건물 보면서 걷고싶다,1,1
101,SH Kim,진짜 너무 좋아요 ️,0,0
102,또제이,출근길에도 퇴근길에도  들으니 너무 좋아요 감사합니다,0,0
103,Nita S.,"oh, I love this playlist.",1,1
104,rilinndaa,I love the first song,0,0
105,유자,에센셜이 찐이지라.....  유일하게듣는 음악채널입니다,3,3
106,Castella PARK,처음 듣자마자... 너무 좋네요 항상 유튜브 메인에 떠서 한번씩 클릭하는데 너무 좋아요.. 진짜.. 오늘부터 구독 해야겠어요!!!!,0,0
107,song,와 진짜 이런 노래는 어떻게 아는거야?? 첫 노래 듣고 내 음악 취향을 알았다.. 감사합니다,1,1
108,gold zzin,와 플레이리스트 유튜버 맨날 찾아다니는데 이게 젤 좋다 진심 ... 완전 취저,0,0
109,SunHee Oh,노래 진짜 너무 잘 듣고 있습니다. 감사해요~ 매일 이것만 들어요!!,0,0
110,바람과함께살빠지다,와 진짜 첫노래부터 진짜..진짜 이건 진짜.... 내일 출근길이 즐거울것같아요 넘 고마워요:),0,0
111,jamjam,진짜 제목이랑 썸넬이랑 찰떡 그러고 딱 첫노래 들으면 아 진짜 쩐다 맨날 이래여 최고에요에센셜,60,60
112,CORGI WELSH,노래 너무 좋아서 알바할 때 계속 들을 듯… 감사해요~,0,0
113,쵯호이,"이 플리를 접한 지 3년차, 이 플리 지박령이 된 나를 발견. 곡이 끝나갈 때쯤 다음 곡 전주를 미리 흥얼거린다,,",0,0
114,취향저격해줄게,노래가 좋아서 기분 좋아졌어요 ㅎㅎ잘듣고 가요 :)앞으로 자주 놀러올게요 ㅎ,0,0
115,Lina Bae,팝송밖에 안 들어서 유튭 플리에 있는 곡들을 대충 다 아는건데 이 플리는 곡들이 다 새로워요ㅠㅠ 바로 구독했습니다 :),0,0
116,전지혜,취향저격 ㅠㅠ 노래 넘 좋아여,0,0
117,진선,내가 봤을 때 한 10만쯤 했던거 같은데 200만회가 넘었다고요....??? 역시 사람들 듣는 귀 다 똑같다ㅠ 첫소절 듣자마자 이거 뭐야 시벌!! 노래 개 좋다 진짜 이랬는데,35,35
118,Loiloi Closet,제가  이제까지 유튭에서 들어본 모든 플레이리스트중에 제맘에 젤드는 1등 리스트네요! 감사해요~,0,0
119,k후니,한곡 한곡이 너무 내스타일 ㅎㅎ 그리고 듣기 너무 좋아요 이거 운전할때도 듣고 사무실에서도 듣는 답니다.,0,0
120,꽃길만걷자,날씨 좋은날 창문활짝열고 드라이브하고 싶어지는 노래네요ㅠㅠ현실은 애둘맘...방구석에서 내적댄스추고있네요ㅋㅋ노래 넘 좋아요!!!!,0,0
121,코다리,과제할때 에센셜 플리 돌아가면서 듣습니다. 생산성이 좋아지지는 않았지만 귀는 즐거워 졌습니다.,0,0
122,JH,노래 진짜 개좋다,0,0
123,이혜비니,거짓말 안치고 첨부터 끝까지 10번이상 듣는 플리입니다 진짜 넘 조아 미치겠삼,8,8
124,엔프프,퇴근길 삶이 풍요로워져벌임.. 리스트도 공유해주세요 ㅎㅎㅎㅎㅎ,0,0
125,책읽는집사,역대급 취저 플레이리스트 ♡,0,0
126,쑤쑤,Audrey Mika 사진이 배경으로 있는거 보니깐 너무 기분좋네용 ㅎㅎㅎ 좋은리스트에 좋은 아티스트 알아보시고 배경해주셔서 감사해용,0,0
127,Andy Yoon,노래들 정말 좋네요. 즐겨듣겠습니다.  감사합니다.,0,0
128,김나현,"다좋네요ㅠㅠㅜㅠㅜㅠ 오랜만에 이런플리라니,,,사랑합니다",1,1
129,을루,"아니, 이런 노래는 어떻게 아는거야?? 너무 좋자나!!!!",128,128
130,Necessary,love it <3,0,0
131,비상구,노래진짜좋다..,0,0
132,0,첫 곡부터 이렇게 좋아버리면 끝까지 들을 수 밖에 없지...,3,3
133,Taehyun Alison Lee,"노래 정말 정말 정말 좋아요 :)썸네일 사진 가지고 싶은데 여쭤 보아도 될까요 ~ ?2021년에도 새해 복 많이 지으시고, 예쁘고 기쁜 일들만 어김없이 가득 하시길 바랄게요 ️",0,0
134,히라,아직도 듣고 있다… 이렇게 내 스타일인 플리는 처음 봤다… 진짜 첫 곡 부터 찢음,0,0
135,Alice,진짜 역대급으로 좋다 ㅋㅋㅋㅋ 스벅이나 H&M 같은 매장에서 나올 것 같음ㅋㅋㅋ,25,25
136,Tyler song,This is the best playlist I have heard in 2020,0,0
137,Nayounchoi 나연초이,와 이번 플레이리스트 레전드에여!!!!!!!!!!!!! 넘감사해요 모두 플레이리스트 추가 완료ㅠ,0,0
138,장수연,우아.. 노래 진심.. 좋네요,0,0
139,와스레나이,와.. 듣자마자 느낌 오는 플리는 처음이에요 와ㅏㅏ..,0,0
140,xlxl xl,아 노래 맛집이네여.. 귀에 살찔것같아 ,0,0
